X,Y,OBJECTID,Corr_Name,Stat_Name,Stat_Loc,STATUS,Label,INSERVICE_Y
-95.402884576582778,29.673577193783583,1,Main,Fannin South,1604 W Bellfort,Existing,1,2004
-95.40280801854226,29.673581613497369,2,Main,Fannin South,1604 W Bellfort,Existing,0,2004
-95.403429837445628,29.685931121548666,3,Main,Reliant Park,8250 1/2 Fannin,Existing,1,2004
-95.403342216741493,29.685936044419222,4,Main,Reliant Park,8250 1/2 Fannin,Existing,0,2004
-95.404881198488908,29.69647748271014,5,Main,Smith Lands,7950 1/2 Greenbriar,Existing,1,2004
-95.404797612407847,29.696476886908002,6,Main,Smith Lands,7950 1/2 Greenbriar,Existing,0,2004
-95.402946961282666,29.704117730809195,7,Main,TMC Transit Center,6950 1/2 Fannin,Existing,1,2004
-95.402855472904974,29.704130793980521,8,Main,TMC Transit Center,6950 1/2 Fannin,Existing,0,2004
-95.401132014032925,29.709379409180315,9,Main,Dryden / TMC,6620 1/2 Fannin,Existing,1,2004
-95.400486968077686,29.710064616200633,10,Main,Dryden / TMC,6590 1/2 Fannin,Existing,0,2004
-95.393623042059218,29.720051148625661,11,Main,Hermann Park / Rice U.,6103 1/2 Fannin,Existing,1,2004
-95.393542995868359,29.7200292239635,12,Main,Hermann Park / Rice U.,6103 1/2 Fannin,Existing,0,2004
-95.388200461734712,29.724347175473934,13,Main,Museum District, ,Existing,1,2004
-95.389094337732402,29.724747097743357,14,Main,Museum District, ,Existing,0,2004
-95.383364821654823,29.732748513303118,15,Main,Wheeler, ,Existing,1,2004
-95.383412422943749,29.732753122075092,16,Main,Wheeler, ,Existing,0,2004
-95.379293976777404,29.73886635585637,17,Main,Ensemble / HCC, ,Existing,1,2004
-95.378794902903493,29.739392074404389,18,Main,Ensemble / HCC, ,Existing,0,2004
-95.374402374439669,29.745045383976585,19,Main,McGowen, ,Existing,1,2004
-95.373787470657845,29.74574756661951,20,Main,McGowen, ,Existing,0,2004
-95.3705750040629,29.749882266479471,21,Main,Downtown Transit Center, ,Existing,1,2004
-95.369937977915953,29.750591085696232,22,Main,Downtown Transit Center, ,Existing,0,2004
-95.368213698244446,29.752868000179475,23,Main,Bell, ,Existing,1,2004
-95.367560584832617,29.753582302031671,24,Main,Bell, ,Existing,0,2004
-95.358792624538353,29.765886971117943,25,Main,UH-Downtown, ,Existing,1,2004
-95.358707891475333,29.765875765655206,26,Main,UH-Downtown, ,Existing,0,2004
-95.396860814841645,29.714865963320115,27,Main,Memorial Hermann Hospital / Houston Zoo,6420 1/2 Fannin,Existing,1,2004
-95.36166270546542,29.761148072398548,28,Main,Preston, ,Existing,1,2004
-95.360930671582963,29.761981089014689,29,Main,Preston, ,Existing,0,2004
-95.397308345137816,29.714092263811139,30,Main,Memorial Hermann Hospital / Houston Zoo,6420 1/2 Fannin,Existing,0,2004
-95.365845763374622,29.755860930973007,31,Main,Main Street Square, ,Existing,1,2004
-95.364549604895629,29.757396616874466,32,Main,Main Street Square, ,Existing,0,2004
